season,team,statBin,count,count_over_window_sum,cum_sum_season_year_statBins,window_sum,cum_sum_as_window_percentage
2017,Iowa,"(-22, -20]",0,0,0,375,0
2017,Iowa,"(-20, -18]",0,0,0,375,0
2017,Iowa,"(-18, -16]",0,0,0,375,0
2017,Iowa,"(-16, -14]",0,0,0,375,0
2017,Iowa,"(-14, -12]",0,0,0,375,0
2017,Iowa,"(-12, -10]",0,0,0,375,0
2017,Iowa,"(-10, -8]",0,0,0,375,0
2017,Iowa,"(-8, -6]",0,0,0,375,0
2017,Iowa,"(-6, -4]",3,0.008,3,375,0.008
2017,Iowa,"(-4, -2]",22,0.058666667,25,375,0.066666667
2017,Iowa,"(-2, 0]",42,0.112,67,375,0.178666667
2017,Iowa,"(0, 2]",87,0.232,154,375,0.410666667
2017,Iowa,"(2, 4]",84,0.224,238,375,0.634666667
2017,Iowa,"(4, 6]",58,0.154666667,296,375,0.789333333
2017,Iowa,"(6, 8]",22,0.058666667,318,375,0.848
2017,Iowa,"(8, 10]",18,0.048,336,375,0.896
2017,Iowa,"(10, 12]",16,0.042666667,352,375,0.938666667
2017,Iowa,"(12, 14]",2,0.005333333,354,375,0.944
2017,Iowa,"(14, 16]",2,0.005333333,356,375,0.949333333
2017,Iowa,"(16, 18]",1,0.002666667,357,375,0.952
2017,Iowa,"(18, 20]",5,0.013333333,362,375,0.965333333
2017,Iowa,"(20, 22]",2,0.005333333,364,375,0.970666667
2017,Iowa,"(22, 24]",2,0.005333333,366,375,0.976
2017,Iowa,"(24, 26]",1,0.002666667,367,375,0.978666667
2017,Iowa,"(26, 28]",0,0,367,375,0.978666667
2017,Iowa,"(28, 30]",3,0.008,370,375,0.986666667
2017,Iowa,"(30, 32]",0,0,370,375,0.986666667
2017,Iowa,"(32, 34]",1,0.002666667,371,375,0.989333333
2017,Iowa,"(34, 36]",2,0.005333333,373,375,0.994666667
2017,Iowa,"(36, 38]",0,0,373,375,0.994666667
2017,Iowa,"(38, 40]",0,0,373,375,0.994666667
2017,Iowa,"(40, 42]",0,0,373,375,0.994666667
2017,Iowa,"(42, 44]",0,0,373,375,0.994666667
2017,Iowa,"(44, 46]",0,0,373,375,0.994666667
2017,Iowa,"(46, 48]",0,0,373,375,0.994666667
2017,Iowa,"(48, 50]",0,0,373,375,0.994666667
2017,Iowa,"(50, 52]",0,0,373,375,0.994666667
2017,Iowa,"(52, 54]",1,0.002666667,374,375,0.997333333
2017,Iowa,"(54, 56]",0,0,374,375,0.997333333
2017,Iowa,"(56, 58]",1,0.002666667,375,375,1
2017,Iowa,"(58, 60]",0,0,375,375,1
2017,Iowa,"(60, 62]",0,0,375,375,1
2017,Iowa,"(62, 64]",0,0,375,375,1
2017,Iowa,"(64, 66]",0,0,375,375,1
2017,Iowa,"(66, 68]",0,0,375,375,1
2017,Iowa,"(68, 70]",0,0,375,375,1
2017,Iowa,"(70, 72]",0,0,375,375,1
2017,Iowa,"(72, 74]",0,0,375,375,1
2017,Iowa,"(74, 76]",0,0,375,375,1
