season,primary_team,compared_against_team,stat_bin,difference,absolute_difference
2017,Iowa,Michigan,(4 | 6],0.031799773,0.031799773
2017,Iowa,Michigan,(8 | 10],-0.020259386,0.020259386
2017,Iowa,Michigan,(2 | 4],-0.018320819,0.018320819
2017,Iowa,Michigan,(0 | 2],0.016982935,0.016982935
2017,Iowa,Michigan,(12 | 14],-0.015144483,0.015144483
2017,Iowa,Michigan,(14 | 16],-0.015144483,0.015144483
2017,Iowa,Michigan,(10 | 12],0.011949943,0.011949943
2017,Iowa,Michigan,(6 | 8],0.010885097,0.010885097
2017,Iowa,Michigan,(18 | 20],0.009920364,0.009920364
2017,Iowa,Michigan,(-4 | -2],0.007472128,0.007472128
2017,Iowa,Michigan,(48 | 50],-0.006825939,0.006825939
2017,Iowa,Michigan,(58 | 60],-0.006825939,0.006825939
2017,Iowa,Michigan,(-6 | -4],-0.005651877,0.005651877
2017,Iowa,Michigan,(28 | 30],0.004587031,0.004587031
2017,Iowa,Michigan,(16 | 18],-0.004159272,0.004159272
2017,Iowa,Michigan,(-8 | -6],-0.003412969,0.003412969
2017,Iowa,Michigan,(30 | 32],-0.003412969,0.003412969
2017,Iowa,Michigan,(46 | 48],-0.003412969,0.003412969
2017,Iowa,Michigan,(66 | 68],-0.003412969,0.003412969
2017,Iowa,Michigan,(76 | 78],-0.003412969,0.003412969
2017,Iowa,Michigan,(-2 | 0],0.002784983,0.002784983
2017,Iowa,Michigan,(32 | 34],0.002666667,0.002666667
2017,Iowa,Michigan,(52 | 54],0.002666667,0.002666667
2017,Iowa,Michigan,(56 | 58],0.002666667,0.002666667
2017,Iowa,Michigan,(20 | 22],0.001920364,0.001920364
2017,Iowa,Michigan,(22 | 24],0.001920364,0.001920364
2017,Iowa,Michigan,(34 | 36],0.001920364,0.001920364
2017,Iowa,Michigan,(24 | 26],-0.000746302,0.000746302
2017,Iowa,Michigan,(-22 | -20],0,0
2017,Iowa,Michigan,(-20 | -18],0,0
2017,Iowa,Michigan,(-18 | -16],0,0
2017,Iowa,Michigan,(-16 | -14],0,0
2017,Iowa,Michigan,(-14 | -12],0,0
2017,Iowa,Michigan,(-12 | -10],0,0
2017,Iowa,Michigan,(-10 | -8],0,0
2017,Iowa,Michigan,(26 | 28],0,0
2017,Iowa,Michigan,(36 | 38],0,0
2017,Iowa,Michigan,(38 | 40],0,0
2017,Iowa,Michigan,(40 | 42],0,0
2017,Iowa,Michigan,(42 | 44],0,0
2017,Iowa,Michigan,(44 | 46],0,0
2017,Iowa,Michigan,(50 | 52],0,0
2017,Iowa,Michigan,(54 | 56],0,0
2017,Iowa,Michigan,(60 | 62],0,0
2017,Iowa,Michigan,(62 | 64],0,0
2017,Iowa,Michigan,(64 | 66],0,0
2017,Iowa,Michigan,(68 | 70],0,0
2017,Iowa,Michigan,(70 | 72],0,0
2017,Iowa,Michigan,(72 | 74],0,0
2017,Iowa,Michigan,(74 | 76],0,0
2017,Iowa,Michigan,(78 | 80],0,0
2017,Iowa,Michigan,(80 | 82],0,0
2017,Iowa,Michigan,(82 | 84],0,0
2017,Iowa,Michigan,(84 | 86],0,0
2017,Iowa,Michigan,(86 | 88],0,0
2017,Iowa,Michigan,(88 | 90],0,0
2017,Iowa,Michigan,(90 | 92],0,0
2017,Iowa,Michigan,(92 | 94],0,0
2017,Iowa,Michigan,(94 | 96],0,0
2017,Iowa,Michigan,(96 | 98],0,0
2017,Iowa,Michigan State,(2 | 4],-0.075093656,0.075093656
2017,Iowa,Michigan State,(-2 | 0],-0.054163142,0.054163142
2017,Iowa,Michigan State,(-4 | -2],0.031476335,0.031476335
2017,Iowa,Michigan State,(0 | 2],0.029583082,0.029583082
2017,Iowa,Michigan State,(4 | 6],0.027778449,0.027778449
2017,Iowa,Michigan State,(10 | 12],0.027560927,0.027560927
2017,Iowa,Michigan State,(28 | 30],0.008,0.008
2017,Iowa,Michigan State,(18 | 20],0.007291037,0.007291037
